City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bargarh,21.3333,83.6167,26.54,29,0,1.99,IN,1708230240
1,cabo san lucas,22.8909,-109.9124,20.98,64,0,3.02,MX,1708229916
2,vernon,50.2581,-119.2691,-2.06,75,79,1.03,CA,1708230241
3,kodiak,57.79,-152.4072,3.73,100,100,3.6,US,1708230241
4,margaret river,-33.95,115.0667,29.89,44,94,1.64,AU,1708230242
5,mangrol,21.1167,70.1167,25.33,41,3,3.47,IN,1708230242
6,chui,-33.6971,-53.4616,22.21,97,37,3.34,UY,1708230243
7,hawaiian paradise park,19.5933,-154.9731,21.73,75,100,4.63,US,1708230243
8,thompson,55.7435,-97.8558,-15.91,66,100,7.2,CA,1708230244
9,waitangi,-43.9535,-176.5597,19.34,90,35,7.36,NZ,1708230244
10,husainabad,24.5333,84.0167,22.26,25,0,2.02,IN,1708230244
11,lorengau,-2.0226,147.2712,29.01,78,35,1.4,PG,1708230245
12,longyearbyen,78.2186,15.6401,-14.09,66,75,8.75,SJ,1708230062
13,kyaikkami,16.08,97.5675,28.85,51,29,2.45,MM,1708230246
14,lerwick,60.1545,-1.1494,8.0,98,100,7.43,GB,1708230246
15,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,30,0,7.0,RU,1708230180
16,aasiaat,68.7098,-52.8699,-14.99,99,100,1.82,GL,1708230247
17,wotho,10.1657,166.0102,26.72,80,37,8.64,MH,1708230248
18,nizhneangarsk,55.7833,109.55,-27.22,67,82,0.45,RU,1708230248
19,jiwani,25.05,61.7417,23.61,72,34,6.28,PK,1708230249
20,mariental,-24.6333,17.9667,21.7,21,55,3.02,NA,1708230249
21,adamstown,-25.066,-130.1015,24.37,79,100,4.84,PN,1708230250
22,port mathurin,-19.6833,63.4167,26.27,73,12,9.84,MU,1708230250
23,blackmans bay,-43.0167,147.3167,25.29,39,13,3.85,AU,1708230251
24,college,64.8569,-147.8028,-10.82,69,75,1.54,US,1708230251
25,papatowai,-46.5619,169.4708,20.84,52,43,2.39,NZ,1708230251
26,cestos city,5.46,-9.5828,27.47,86,60,2.39,LR,1708230252
27,hithadhoo,-0.6,73.0833,28.09,78,100,7.65,MV,1708230253
28,puerto ayora,-0.7393,-90.3518,24.19,100,54,0.89,EC,1708230253
29,fale old settlement,-9.3852,-171.2468,26.82,88,100,8.25,TK,1708230254
30,hermanus,-34.4187,19.2345,15.45,77,0,4.95,ZA,1708230254
31,albany,42.6001,-73.9662,-5.77,68,91,4.07,US,1708230241
32,iqaluit,63.7506,-68.5145,-30.15,67,0,10.8,CA,1708230255
33,bethel,41.3712,-73.414,-3.62,58,0,4.63,US,1708230087
34,kulhudhuffushi,6.6221,73.07,28.01,72,69,3.86,MV,1708230256
35,vuktyl,63.8567,57.3094,-13.83,84,100,8.49,RU,1708230256
36,port alfred,-33.5906,26.891,15.66,85,0,2.41,ZA,1708230257
37,stanley,54.868,-1.6985,10.01,94,75,4.63,GB,1708230257
38,enewetak,11.3474,162.3373,26.71,77,15,8.03,MH,1708230258
39,port-aux-francais,-49.35,70.2167,4.96,82,72,17.87,TF,1708230258
40,sinop,41.7711,34.8709,3.43,97,100,0.97,TR,1708230259
41,mukdahan,16.5833,104.5,28.86,32,89,5.6,TH,1708230260
42,grytviken,-54.2811,-36.5092,4.6,84,100,3.08,GS,1708230261
43,san bernardo del viento,9.3533,-75.9524,27.75,84,71,3.67,CO,1708230261
44,togur,58.3631,82.8265,-28.25,95,36,1.79,RU,1708230262
45,port antonio,18.18,-76.4612,26.95,79,24,5.67,JM,1708230262
46,fort st. john,56.2499,-120.8529,-0.06,29,0,3.09,CA,1708230263
47,invercargill,-46.4,168.35,21.68,46,94,6.26,NZ,1708230194
48,alice springs,-23.7,133.8833,34.56,36,75,9.26,AU,1708230188
49,iaciara,-14.0958,-46.6317,21.08,96,89,1.14,BR,1708230265
50,ust'-ilimsk,58.0006,102.6619,-27.53,91,100,0.93,RU,1708230265
51,faya-largeau,17.9257,19.1043,16.84,21,87,7.88,TD,1708230266
52,san antonio de pale,-1.4014,5.6325,28.35,76,100,2.37,GQ,1708230266
53,utrik,11.2278,169.8474,26.44,81,97,7.42,MH,1708230267
54,tlemcen,34.8783,-1.315,7.37,93,40,0.0,DZ,1708230267
55,holualoa,19.6228,-155.9522,24.91,72,75,6.69,US,1708230269
56,verdal,63.7933,11.4817,-4.98,92,38,2.1,NO,1708230269
57,kiunga,-6.1219,141.2906,30.18,80,89,0.51,PG,1708230270
58,sisimiut,66.9395,-53.6735,-11.15,92,100,5.91,GL,1708230270
59,carutapera,-1.195,-46.02,24.97,95,72,2.6,BR,1708230271
60,zuwarah,32.9312,12.082,16.72,72,100,8.2,LY,1708230271
61,brookings,44.3114,-96.7984,-3.79,76,0,8.23,US,1708230003
62,belyy yar,53.6039,91.3903,-22.06,64,0,2.0,RU,1708230272
63,bredasdorp,-34.5322,20.0403,15.35,77,0,2.43,ZA,1708230272
64,talnakh,69.4865,88.3972,-24.89,97,100,4.42,RU,1708230193
65,qaqortoq,60.7167,-46.0333,-0.79,96,100,1.09,GL,1708230274
66,inhambane,-23.865,35.3833,27.07,80,99,4.28,MZ,1708230275
67,olonkinbyen,70.9221,-8.7187,-1.4,93,17,4.46,SJ,1708230275
68,vorgashor,67.5833,63.95,-18.31,79,100,6.34,RU,1708230275
69,igarka,67.4667,86.5833,-27.67,92,100,4.21,RU,1708230276
70,bikenibeu village,1.3673,173.1241,30.98,74,75,4.12,KI,1708230277
71,buerarema,-14.9594,-39.2997,23.5,99,100,1.06,BR,1708230278
72,shitanjing,39.2342,106.3439,-7.2,30,99,8.97,CN,1708230279
73,olonets,60.9847,32.9698,-6.04,89,100,6.11,RU,1708230279
74,saquarema,-22.92,-42.5103,23.59,92,8,3.84,BR,1708230281
75,katsuren-haebaru,26.3369,127.8719,24.21,66,20,7.2,JP,1708230282
76,anadyr,64.75,177.4833,-9.72,67,20,11.0,RU,1708230283
77,punta arenas,-53.15,-70.9167,10.06,81,100,6.69,CL,1708230201
78,jamestown,42.097,-79.2353,-5.23,70,87,5.81,US,1708230283
79,edinburgh of the seven seas,-37.0676,-12.3116,15.46,63,67,8.32,SH,1708230284
80,manokwari,-0.8667,134.0833,28.11,80,95,4.67,ID,1708230284
81,puerto natales,-51.7236,-72.4875,8.59,91,100,2.12,CL,1708230012
82,bilibino,68.0546,166.4372,-23.61,87,88,1.19,RU,1708230285
83,port elizabeth,-33.918,25.5701,16.29,76,0,2.57,ZA,1708230286
84,lompoc,34.6391,-120.4579,13.11,88,100,10.8,US,1708230230
85,isafjordur,66.0755,-23.124,3.56,93,100,3.18,IS,1708230286
86,ushuaia,-54.8,-68.3,9.81,76,20,5.14,AR,1708230287
87,udachny,66.4167,112.4,-31.42,67,100,5.43,RU,1708230287
88,kuta,-8.7233,115.1723,30.97,70,40,3.6,ID,1708230288
89,waddan,29.1614,16.139,14.15,37,100,6.3,LY,1708230288
90,prince rupert,54.3161,-130.3201,8.05,61,100,3.6,CA,1708230289
91,ust-tsilma,65.441,52.1498,-12.44,92,100,7.6,RU,1708230289
92,lepsy,46.235,78.9456,-21.62,77,3,5.72,KZ,1708230290
93,praia da vitoria,38.7333,-27.0667,14.31,77,0,2.7,PT,1708230290
94,azemmour,33.2895,-8.3425,14.43,90,5,5.77,MA,1708230290
95,vilyuchinsk,52.9306,158.4028,-3.85,66,10,5.75,RU,1708230291
96,la'ie,21.6477,-157.9253,23.98,62,0,1.79,US,1708230292
97,nkhotakota,-12.9274,34.2961,23.36,89,100,1.68,MW,1708230292
98,iskateley,67.6803,53.1512,-13.32,93,100,12.52,RU,1708230293
99,lihue,21.9789,-159.3672,22.58,62,75,8.75,US,1708230293
100,vorsma,55.9856,43.2717,-8.09,87,98,8.52,RU,1708230293
101,hirara,24.8,125.2833,24.92,73,75,7.72,JP,1708230294
102,nar'yan-mar,67.6713,53.087,-13.27,93,100,12.52,RU,1708230294
103,lebu,-37.6167,-73.65,13.75,83,0,9.71,CL,1708230295
104,kingston,17.997,-76.7936,26.53,75,20,7.72,JM,1708230295
105,tiksi,71.6872,128.8694,-37.74,99,67,2.01,RU,1708230295
106,east london,-33.0153,27.9116,19.52,59,75,3.09,ZA,1708230296
107,yanam,16.7333,82.2167,29.46,46,3,0.85,IN,1708230296
108,labrador city,52.9463,-66.9114,-23.79,72,40,2.06,CA,1708230297
109,djenne,13.9061,-4.5533,23.26,10,4,3.49,ML,1708230297
110,newnham,-41.3833,147.1333,28.81,39,5,4.63,AU,1708230297
111,san javier,37.8063,-0.8374,11.18,74,0,1.79,ES,1708230298
112,singkil,-7.9855,111.4161,29.87,65,97,1.85,ID,1708230298
113,surab,28.4914,66.2585,12.89,51,84,2.26,PK,1708230299
114,port macquarie,-31.4333,152.9167,30.5,60,32,5.41,AU,1708230299
115,tazovsky,67.4667,78.7,-24.33,85,100,4.91,RU,1708230300
116,wailua homesteads,22.0669,-159.378,22.24,63,75,8.75,US,1708230300
117,susuman,62.7833,148.1667,-36.12,93,91,0.89,RU,1708230300
118,new mirpur,33.1418,73.7674,17.2,28,100,1.2,PK,1708230301
119,acarau,-2.8856,-40.12,26.08,89,99,3.4,BR,1708230217
120,chernyshevskiy,63.0128,112.4714,-33.63,93,99,3.04,RU,1708230302
121,oranjemund,-28.55,16.4333,15.71,92,5,2.91,NA,1708230302
122,bantay,17.5847,120.3892,28.87,85,40,3.74,PH,1708230303
123,kangding,30.0513,101.9603,13.61,26,0,2.51,CN,1708230303
124,ilhabela,-23.7781,-45.3581,23.51,88,5,1.75,BR,1708230303
125,enid,36.3956,-97.8784,-1.5,61,0,1.54,US,1708230304
126,sept-iles,50.2001,-66.3821,-11.0,47,75,3.6,CA,1708230174
127,al burayqah,30.4062,19.5739,14.59,57,92,4.21,LY,1708230305
128,brezina,33.0989,1.2608,9.98,71,65,9.28,DZ,1708230305
129,marsh harbour,26.5412,-77.0636,23.1,78,100,3.78,BS,1708230306
130,mount pearl,47.5166,-52.7813,-2.31,90,100,4.63,CA,1708230087
131,arno,60.1167,18.6333,-1.23,83,5,3.68,SE,1708230307
132,whitehorse,60.7161,-135.0538,-5.57,63,0,3.09,CA,1708230307
133,sao bernardo,-3.3614,-42.4178,24.01,99,100,1.25,BR,1708230308
134,zhongshu,24.5167,103.7667,20.35,19,0,9.66,CN,1708230308
135,saipan,15.1355,145.701,26.39,89,100,5.66,MP,1708230308
136,uturoa,-16.7333,-151.4333,28.16,83,85,7.5,PF,1708230309
137,yellowknife,62.456,-114.3525,-19.21,92,0,5.66,CA,1708230309
138,georgetown,5.4112,100.3354,32.19,72,40,2.06,MY,1708230265
139,saldanha,-33.0117,17.9442,13.03,79,0,4.38,ZA,1708230310
140,nadi,-17.8,177.4167,29.0,84,40,0.0,FJ,1708230311
141,naryshkino,52.9678,35.7268,-1.57,98,100,5.43,RU,1708230311
142,west island,-12.1568,96.8225,29.99,74,75,3.6,CC,1708230311
143,vorkuta,67.5,64.0,-18.03,79,100,6.29,RU,1708230312
144,badger,64.8,-147.5333,-10.86,74,75,1.54,US,1708230312
145,santa sylvina,-27.8326,-61.1375,22.81,64,0,3.18,AR,1708230313
146,ancud,-41.8697,-73.8203,10.84,84,82,2.08,CL,1708230313
147,chilecito,-29.1619,-67.4974,25.62,49,98,5.65,AR,1708230314
148,bonthe,7.5264,-12.505,25.55,92,4,1.7,SL,1708230314
149,ola,59.5833,151.2833,-19.45,58,100,1.0,RU,1708230314
150,osorio,-29.8867,-50.2697,21.85,95,32,2.6,BR,1708230199
151,taulaga,-11.0553,-171.0883,26.92,88,99,8.34,AS,1708230315
152,atafu village,-8.5421,-172.5159,27.47,85,100,7.1,TK,1708230316
153,priladozhskiy,59.85,31.4833,-6.25,88,100,5.42,RU,1708230316
154,talcahuano,-36.7167,-73.1167,14.82,72,0,4.63,CL,1708230317
155,myeik,12.4333,98.6,30.0,62,96,0.62,MM,1708230317
156,chandur bazar,21.2417,77.7456,28.02,25,3,2.39,IN,1708230318
157,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1708230318
158,la fria,8.2203,-72.2439,30.06,57,64,1.65,VE,1708230319
159,ploneour-lanvern,47.9,-4.2833,12.18,100,100,5.66,FR,1708230319
160,christchurch,-43.5333,172.6333,23.04,68,26,8.23,NZ,1708230034
161,jianshui,23.6363,102.8264,22.85,18,0,6.22,CN,1708230320
162,jinxiang,27.4327,120.6062,16.83,81,100,4.45,CN,1708230320
163,yeppoon,-23.1333,150.7333,30.88,62,57,6.88,AU,1708230321
164,yemetsk,63.4721,41.7941,-7.78,89,100,3.88,RU,1708230321
165,salinopolis,-0.6136,-47.3561,25.94,89,69,4.21,BR,1708230134
166,palmerston north,-40.35,175.6167,25.58,65,85,3.13,NZ,1708230322
167,turpan,42.9333,89.1667,-5.33,27,0,1.37,CN,1708230322
168,enkoping,59.6361,17.0777,-4.98,87,5,1.89,SE,1708230323
169,puerto deseado,-47.7503,-65.8938,14.83,58,42,2.78,AR,1708230323
170,island harbour,50.724,-1.2758,11.37,95,100,4.02,GB,1708230324
171,bereeda,11.8704,51.0579,24.78,70,43,0.75,SO,1708230324
172,hammamet,36.4,10.6167,14.92,91,66,3.52,TN,1708230325
173,fort mcmurray,56.7268,-111.381,-4.23,54,0,4.12,CA,1708230098
174,nizhnegorskiy,45.4479,34.7384,2.64,88,100,1.84,UA,1708230326
175,andergrove,-21.0833,149.1833,31.47,66,98,7.94,AU,1708230331
176,siwa oasis,29.2041,25.5195,11.79,75,62,3.88,EG,1708230332
177,kailua-kona,19.6406,-155.9956,26.98,70,75,6.69,US,1708230332
178,andalgala,-27.5819,-66.3165,22.18,66,79,0.69,AR,1708230333
179,gadzhiyevo,69.2551,33.3362,-0.94,68,100,14.24,RU,1708230333
180,afaahiti,-17.75,-149.2833,28.93,81,95,8.2,PF,1708230334
181,castelo do piaui,-5.3222,-41.5525,23.04,93,18,1.15,BR,1708230334
182,nova xavantina,-14.6667,-52.35,23.38,94,97,1.02,BR,1708230334
183,figuig (centre),32.1089,-1.2286,9.83,66,45,5.03,MA,1708230335
184,energetik,51.7445,58.7934,-21.21,91,100,1.25,RU,1708230335
185,mil'kovo,55.6078,37.7956,-0.73,97,100,5.27,RU,1708230336
186,geraldton,-28.7667,114.6,48.23,7,32,10.29,AU,1708230336
187,ust-nera,64.5667,143.2,-34.78,93,70,0.31,RU,1708230337
188,ishikawa,26.4233,127.8214,24.18,66,20,7.2,JP,1708230337
189,chonchi,-42.6128,-73.8092,10.62,90,95,1.46,CL,1708230338
190,tofol,5.3248,163.0078,28.12,75,55,4.19,FM,1708230338
191,hamilton,39.1834,-84.5333,-6.65,66,0,4.47,US,1708230339
192,owensboro,37.7742,-87.1133,-6.97,73,0,2.06,US,1708230301
193,madinat ash shamal,26.1293,51.2009,19.32,64,0,11.86,QA,1708230340
194,wickenburg,33.9686,-112.7296,13.02,49,2,1.17,US,1708230341
195,ghatanji,20.1333,78.3167,29.26,19,0,3.88,IN,1708230341
